iter	Passed	Remaining
796	1578	402
797	1580	400
798	1581	397
799	1583	395
800	1585	393
801	1587	391
802	1589	389
803	1590	387
804	1592	385
805	1593	383
806	1595	381
807	1597	379
808	1598	377
809	1600	375
810	1602	373
811	1604	371
812	1606	369
813	1607	367
814	1609	365
815	1611	363
816	1612	361
817	1614	359
818	1616	357
819	1618	355
820	1620	353
821	1622	351
822	1623	349
823	1625	347
824	1626	345
825	1628	343
826	1630	340
827	1631	338
828	1633	336
829	1635	334
830	1636	332
831	1639	330
832	1640	328
833	1642	326
834	1643	324
835	1645	322
836	1647	320
837	1648	318
838	1650	316
839	1652	314
840	1653	312
841	1655	310
842	1657	308
843	1658	306
844	1660	304
845	1662	302
846	1663	300
847	1665	298
848	1667	296
849	1668	294
850	1670	292
851	1672	290
852	1673	288
853	1675	286
854	1676	284
855	1678	282
856	1679	280
857	1681	278
858	1683	276
859	1685	274
860	1686	272
861	1688	270
862	1689	268
863	1691	266
864	1693	264
865	1694	262
866	1696	260
867	1698	258
868	1699	256
869	1701	254
870	1702	252
871	1704	250
872	1706	248
873	1707	246
874	1709	244
875	1710	242
876	1712	240
877	1714	238
878	1715	236
879	1717	234
880	1718	232
881	1720	230
882	1722	228
883	1723	226
884	1725	224
885	1726	222
886	1728	220
887	1730	218
888	1731	216
889	1733	214
890	1734	212
891	1736	210
892	1738	208
893	1739	206
894	1741	204
895	1742	202
896	1744	200
897	1746	198
898	1748	196
899	1750	194
900	1751	192
901	1753	190
902	1754	188
903	1756	186
904	1758	184
905	1760	182
906	1762	180
907	1764	178
908	1765	176
909	1767	174
910	1769	172
911	1770	170
912	1772	168
913	1773	166
914	1775	164
915	1777	163
916	1779	161
917	1780	159
918	1782	157
919	1784	155
920	1785	153
921	1787	151
922	1788	149
923	1790	147
924	1792	145
925	1793	143
926	1795	141
927	1797	139
928	1798	137
929	1800	135
930	1802	133
931	1803	131
932	1805	129
933	1807	127
934	1809	125
935	1810	123
936	1812	121
937	1813	119
938	1815	117
939	1817	115
940	1818	114
941	1820	112
942	1821	110
943	1823	108
944	1825	106
945	1826	104
946	1828	102
947	1829	100
948	1831	98
949	1832	96
950	1834	94
951	1836	92
952	1838	90
953	1839	88
954	1841	86
955	1842	84
956	1844	82
957	1845	80
958	1847	78
959	1850	77
960	1852	75
961	1854	73
962	1855	71
963	1857	69
964	1859	67
965	1860	65
966	1862	63
967	1864	61
968	1866	59
969	1867	57
970	1869	55
971	1871	53
972	1872	51
973	1874	50
974	1876	48
975	1877	46
976	1880	44
977	1881	42
978	1883	40
979	1885	38
980	1887	36
981	1889	34
982	1890	32
983	1892	30
984	1894	28
985	1895	26
986	1897	24
987	1899	23
988	1900	21
989	1902	19
990	1904	17
991	1905	15
992	1907	13
993	1908	11
994	1910	9
995	1912	7
996	1914	5
997	1915	3
998	1917	1
999	1919	0
